0, 0, 2, 0, 2
1, 0, 2, 42, 44
2, 0, 2, 84, 86
3, 0, 2, 126, 128
4, 0, 2, 168, 170
5, 0, 2, 210, 212
6, 0, 2, 252, 254
7, 0, 2, 294, 296
8, 0, 2, 336, 338
9, 0, 2, 378, 380
10, 0, 2, 420, 422
11, 42, 44, 0, 2
12, 42, 44, 42, 44
13, 42, 44, 84, 86
14, 42, 44, 126, 128
15, 42, 44, 168, 170
16, 42, 44, 210, 212
17, 42, 44, 252, 254
18, 42, 44, 294, 296
19, 42, 44, 336, 338
20, 42, 44, 378, 380
21, 42, 44, 420, 422
22, 84, 86, 0, 2
23, 84, 86, 42, 44
24, 84, 86, 84, 86
25, 84, 86, 126, 128
26, 84, 86, 168, 170
27, 84, 86, 210, 212
28, 84, 86, 252, 254
29, 84, 86, 294, 296
30, 84, 86, 336, 338
31, 84, 86, 378, 380
32, 84, 86, 420, 422
33, 126, 128, 0, 2
34, 126, 128, 42, 44
35, 126, 128, 84, 86
36, 126, 128, 126, 128
37, 126, 128, 168, 170
38, 126, 128, 210, 212
39, 126, 128, 252, 254
40, 126, 128, 294, 296
41, 126, 128, 336, 338
42, 126, 128, 378, 380
43, 126, 128, 420, 422
44, 168, 170, 0, 2
45, 168, 170, 42, 44
46, 168, 170, 84, 86
47, 168, 170, 126, 128
48, 168, 170, 168, 170
49, 168, 170, 210, 212
50, 168, 170, 252, 254
51, 168, 170, 294, 296
52, 168, 170, 336, 338
53, 168, 170, 378, 380
54, 168, 170, 420, 422
55, 210, 212, 0, 2
56, 210, 212, 42, 44
57, 210, 212, 84, 86
58, 210, 212, 126, 128
59, 210, 212, 168, 170
60, 210, 212, 210, 212
61, 210, 212, 252, 254
62, 210, 212, 294, 296
63, 210, 212, 336, 338
64, 210, 212, 378, 380
65, 210, 212, 420, 422
66, 252, 254, 0, 2
67, 252, 254, 42, 44
68, 252, 254, 84, 86
69, 252, 254, 126, 128
70, 252, 254, 168, 170
71, 252, 254, 210, 212
72, 252, 254, 252, 254
73, 252, 254, 294, 296
74, 252, 254, 336, 338
75, 252, 254, 378, 380
76, 252, 254, 420, 422
77, 294, 296, 0, 2
78, 294, 296, 42, 44
79, 294, 296, 84, 86
80, 294, 296, 126, 128
81, 294, 296, 168, 170
82, 294, 296, 210, 212
83, 294, 296, 252, 254
84, 294, 296, 294, 296
85, 294, 296, 336, 338
86, 294, 296, 378, 380
87, 294, 296, 420, 422
88, 336, 338, 0, 2
89, 336, 338, 42, 44
90, 336, 338, 84, 86
91, 336, 338, 126, 128
92, 336, 338, 168, 170
93, 336, 338, 210, 212
94, 336, 338, 252, 254
95, 336, 338, 294, 296
96, 336, 338, 336, 338
97, 336, 338, 378, 380
98, 336, 338, 420, 422
99, 378, 380, 0, 2
100, 378, 380, 42, 44
101, 378, 380, 84, 86
102, 378, 380, 126, 128
103, 378, 380, 168, 170
